Name,Type,Dues/Membership Duration,Registration Status,Facet 1,Facet 2,Facet 3
Latin American Recruitment and Educational Services (LARES) Program,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Meetings & Conferences,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Native American Support Program,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
New Student and Family Programs,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Office of the Dean of Students,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
SA Human Resources,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
SA Technology,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Student Affairs,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Student Affairs Assessment,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Student Centers,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Student Employment Office,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Student Leadership and Civic Engagement,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Student Legal Services,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Student Veterans Affairs,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Testing Services,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
TRIO,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
UIC Campus Recreation,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
UIC Children's Center,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
UIC Counseling Center,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
UIC Dorin Forum,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
UIC Health and Well-being,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
UIC Impact,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
UIC Student Engagement,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
UIC Venues and Events,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
UIC Wellness Center,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Student Association of Specialty Pharmacy,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Academy of Managed Care Pharmacy,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
American Association of Psychiatric Pharmacists,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
American College of Clinical Pharmacy,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
American Pharmacists Association-Academy of Student Pharmacists Chicago,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
American Pharmacists Association-Academy of Student Pharmacists Rockford,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
American Society of Consultant Pharmacists,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Asian Pharmacists Association,UIC College of Pharmacy ,1 Year,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Association of Indian Pharmacists in America,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Black Pharmacy Student Assocation,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Christian Pharmacists Fellowship International,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Community Drug Education Committee,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
COP Office of Advancement & Alumni Affairs,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
COP Office of Continuing Education & Meeting Services,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
COP Office of Diversity & Inclusion,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
COP Office of Student Affairs,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
COP Rockford Campus,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
COP Rural Pharmacy Education Program,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Drug Information Association,UIC College of Pharmacy ,3 Years,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Drug Information Association (Rockford),UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Illinois Council of Health-System Pharmacists Student Chapter,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Industry Pharmacists Organization,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Infectious Disease Student Pharmacists Association,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
"Kappa Psi Pharmaceutical Fraternity, Inc",UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
"Kappa Psi Pharmaceutical Fraternity, Inc - (Rockford)",UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Medical Science Liaison Society,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
"National Community Oncology Dispensing Association, Inc",UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
National Community Pharmacists Association,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
National Hispanic Pharmacists Association,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Pediatric Pharmacy Association (Chicago),UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Pediatric Pharmacy Association (Rockford),UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Pharmacy Student Council,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Phi Delta Chi Professional Pharmacy Fraternity,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Phi Lambda Sigma,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Polish American Pharmacist Association Student Committee,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Student National Pharmaceutical Association,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Student National Pharmaceutical Association - Rockford,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
Student Society of Veterinary Pharmacists,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
The Rho Chi Society,UIC College of Pharmacy ,Lifetime membership,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
UIC College of Pharmacy,UIC College of Pharmacy ,Ends at Graduation,Not Registered,Clinical Skills Development,Community Health Engagement,Healthcare Innovation and Research
826CHI,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
A Safe Haven Foundation,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
AccentCare Hospice (Formerly Seasons Hospice),Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
After School Matters,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Albany Park Community Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Alliance for the Great Lakes,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
ALSAC/St. Jude Children's Research Hospital,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
America SCORES Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
America SCORES Chicago @ Pilsen Academy,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
American Lung Association in Greater Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
American Red Cross,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Anixter Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Aquinas Literacy Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Asian Human Services LEAF Program,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Aspira Inc of Illinois,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Be the Match,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Bear Necessities Pediatric Cancer Foundation,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
BEDS-PLUS,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Big Brothers Big Sisters,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Big Shoulders Fund,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Block By Block of Auburn Gresham,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Breakthrough Urban Ministries,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
By The Hand Club for Kids,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Center for Advancing Domestic Peace,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chartwells,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chi-Care,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chicago Angels,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chicago Council on Science and Technology,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chicago Council on Science and Technology,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chicago Debates,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chicago HOPES for Kids,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chicago Lights Tutoring and Summer Day,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chicago Literacy Alliance,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chicago People's Rights Collaborative,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chicago Public Schools,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Chicago Urban Art Retreat Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
City Year,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
"City Year, AmeriCorps",Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Clearbrook,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Coalition for a Better Chinese American Community,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Common Pantry,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Cornerstone Community Outreach,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Cradles to Crayons,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
CREO DuPage,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Crohn's and Colitis Foundation,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Department of Family and Support Services Homeless Division,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Dignity Diner,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Dreamchasers United Nfp,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Eden Place Urban Farm and Nature Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
El Paseo Community Garden,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Elim Christian Services,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Emmaus,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
ENGin,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Erie Neighborhood House,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Erie Neighborhood House - Little Village,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Erie Neighborhood House - Tutoring,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Esperanza Community Services,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Expanding Your Horizons - Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Family Matters,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
FEDECMI/Casa Michoacan,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Ferdace Tech LLC,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Food Recovery Network at UIC,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Forging Opportunities for Refugees in America (FORA),Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Friends of Carl Von Linne School,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Gads Hill Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Garden Center Services,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Garfield Park Advisory Council (GPAC),Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Gateway to the Great Outdoors,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Gateway to the Great Outdoors (GGO),Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Gentiva Hospice,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Gift of Hope Organ and Tissue Donation,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Girl Scouts Greater Chicago Northwest Indiana,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Girls in the Game,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
"Give Hope, Fight Poverty",Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Glen Ellyn Children's Resource Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Glenkirk,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Global Medical Brigades at University of Illinois at Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Golden Connections,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Greater Chicago Food Depository,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
